,smoothness_flatfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
122,0.13894954943731375,ladmap,False,2,True,2,4.387384802254382,0.11540812272713381,1147.4157028717339
123,0.13894954943731375,ladmap,False,2,True,3,4.375530043448206,0.12046572746997525,1197.9919223403413
124,0.13894954943731375,ladmap,False,2,True,4,4.395077642046385,0.11374262750970265,1130.7587356780432
125,0.13894954943731375,ladmap,False,2,False,0,3.800561703420203,0.11498028909329829,1143.603452636403
126,0.13894954943731375,ladmap,False,2,False,1,3.801849268279747,0.11490389023011338,1142.8407515694134
127,0.13894954943731375,ladmap,False,2,False,2,3.8025505115087648,0.11229104910918926,1116.7130416034013
128,0.13894954943731375,ladmap,False,2,False,3,3.8006299158222494,0.10943373162607341,1088.1379461765564
129,0.13894954943731375,ladmap,False,2,False,4,3.802156000223092,0.11468997341319562,1140.7018901321792
130,0.13894954943731375,approximate,False,2,True,0,4.433865155240608,0.08272468905662683,820.5918050704838
131,0.13894954943731375,approximate,False,2,True,1,4.441306173698733,0.08678910857806436,861.2359355026796
132,0.13894954943731375,approximate,False,2,True,2,4.432665293853414,0.08652935244323565,858.6378357351493
133,0.13894954943731375,approximate,False,2,True,3,4.4234000483479425,0.08313724291782539,824.7168735050627
134,0.13894954943731375,approximate,False,2,True,4,4.4257719306109236,0.08562784585765364,849.6229515880605
135,0.13894954943731375,approximate,False,2,False,0,3.5953478848431377,0.0763224643217309,756.8199911021521
136,0.13894954943731375,approximate,False,2,False,1,3.5953560528527477,0.07763652476851145,769.9606037379672
137,0.13894954943731375,approximate,False,2,False,2,3.59471503485378,0.07824771567399078,776.0718717747616
138,0.13894954943731375,approximate,False,2,False,3,3.5952130757365666,0.07879778748892216,781.5730879649582
139,0.13894954943731375,approximate,False,2,False,4,3.5951016917353766,0.06947712618036243,688.3663634953597
140,0.31622776601683794,ladmap,False,2,True,0,4.403501523141491,0.03613666228646518,354.7065544376747
141,0.31622776601683794,ladmap,False,2,True,1,4.373970974078299,0.03552547138098585,348.59419309145056
142,0.31622776601683794,ladmap,False,2,True,2,4.366204953354566,0.03561715001680775,349.5109825038243
143,0.31622776601683794,ladmap,False,2,True,3,4.3717068736416405,0.03968156953824527,390.15592524297386
144,0.31622776601683794,ladmap,False,2,True,4,4.391795762716129,0.03528099501879412,346.15003320517104
145,0.31622776601683794,ladmap,False,2,False,0,3.800383926238429,0.03198056412920576,313.60602521829605
146,0.31622776601683794,ladmap,False,2,False,1,3.799972742695781,0.027564709837117625,269.447071113872
147,0.31622776601683794,ladmap,False,2,False,2,3.799726806198969,0.03132353390581548,307.0350658643538
148,0.31622776601683794,ladmap,False,2,False,3,3.8006041940731596,0.032179201173486535,315.5926159289385
149,0.31622776601683794,ladmap,False,2,False,4,3.799020852402003,0.02773278733612444,271.1268942136464
150,0.31622776601683794,approximate,False,2,True,0,4.396307910114233,0.018916358524585154,182.50473845799067
151,0.31622776601683794,approximate,False,2,True,1,4.385241183155088,0.01899275738777007,183.268567756941
152,0.31622776601683794,approximate,False,2,True,2,4.388557291818476,0.020658252605201235,199.92294569068196
153,0.31622776601683794,approximate,False,2,True,3,4.388390925486389,0.02330165327139932,226.35731421375118
154,0.31622776601683794,approximate,False,2,True,4,4.396632183506861,0.022155670323625584,214.89742341355188
155,0.31622776601683794,approximate,False,2,False,0,3.57125008735424,0.028130061424686,274.87186433421425
156,0.31622776601683794,approximate,False,2,False,1,3.5713161546188776,0.02759526938239159,269.52400997853476
157,0.31622776601683794,approximate,False,2,False,2,3.5705729654603213,0.030085872322219844,294.42929618765874
158,0.31622776601683794,approximate,False,2,False,3,3.5706375536723662,0.028450936650062646,278.08000405429885
159,0.31622776601683794,approximate,False,2,False,4,3.570959648791369,0.026831280750542433,261.88376715421566
160,0.7196856730011522,ladmap,False,2,True,0,4.386098903122882,0.006325825871711029,56.6044531080111
161,0.7196856730011522,ladmap,False,2,True,1,4.375300250937385,0.006723099960272591,60.576721673630445
162,0.7196856730011522,ladmap,False,2,True,2,4.3562495448506855,0.0071662133667451024,65.00774659946164
163,0.7196856730011522,ladmap,False,2,True,3,4.40029390729274,0.006967576322464321,63.023091788004066
164,0.7196856730011522,ladmap,False,2,True,4,4.388746251329891,0.007150933594108119,64.85542463319292
