,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep
85,0,10,100,300,unbiased,0
86,0,10,100,300,unbiased,1
87,0,10,100,300,unbiased,2
88,0,10,100,300,unbiased,3
89,0,10,100,300,unbiased,4
100,0,100,10,10,biased,0
101,0,100,10,10,biased,1
102,0,100,10,10,biased,2
103,0,100,10,10,biased,3
104,0,100,10,10,biased,4
105,0,100,10,10,unbiased,0
106,0,100,10,10,unbiased,1
107,0,100,10,10,unbiased,2
108,0,100,10,10,unbiased,3
109,0,100,10,10,unbiased,4
110,0,100,10,30,biased,0
111,0,100,10,30,biased,1
112,0,100,10,30,biased,2
113,0,100,10,30,biased,3
114,0,100,10,30,biased,4
115,0,100,10,30,unbiased,0
116,0,100,10,30,unbiased,1
117,0,100,10,30,unbiased,2
118,0,100,10,30,unbiased,3
119,0,100,10,30,unbiased,4
120,0,100,10,100,biased,0
121,0,100,10,100,biased,1
122,0,100,10,100,biased,2
123,0,100,10,100,biased,3
124,0,100,10,100,biased,4
125,0,100,10,100,unbiased,0
126,0,100,10,100,unbiased,1
127,0,100,10,100,unbiased,2
128,0,100,10,100,unbiased,3
129,0,100,10,100,unbiased,4
130,0,100,10,300,biased,0
131,0,100,10,300,biased,1
132,0,100,10,300,biased,2
133,0,100,10,300,biased,3
134,0,100,10,300,biased,4
135,0,100,10,300,unbiased,0
136,0,100,10,300,unbiased,1
137,0,100,10,300,unbiased,2
138,0,100,10,300,unbiased,3
139,0,100,10,300,unbiased,4
150,0,100,100,10,biased,0
151,0,100,100,10,biased,1
152,0,100,100,10,biased,2
153,0,100,100,10,biased,3
154,0,100,100,10,biased,4
155,0,100,100,10,unbiased,0
156,0,100,100,10,unbiased,1
157,0,100,100,10,unbiased,2
158,0,100,100,10,unbiased,3
159,0,100,100,10,unbiased,4
160,0,100,100,30,biased,0
161,0,100,100,30,biased,1
162,0,100,100,30,biased,2
163,0,100,100,30,biased,3
164,0,100,100,30,biased,4
165,0,100,100,30,unbiased,0
166,0,100,100,30,unbiased,1
167,0,100,100,30,unbiased,2
168,0,100,100,30,unbiased,3
169,0,100,100,30,unbiased,4
170,0,100,100,100,biased,0
171,0,100,100,100,biased,1
172,0,100,100,100,biased,2
173,0,100,100,100,biased,3
174,0,100,100,100,biased,4
175,0,100,100,100,unbiased,0
176,0,100,100,100,unbiased,1
177,0,100,100,100,unbiased,2
178,0,100,100,100,unbiased,3
179,0,100,100,100,unbiased,4
180,0,100,100,300,biased,0
181,0,100,100,300,biased,1
182,0,100,100,300,biased,2
183,0,100,100,300,biased,3
184,0,100,100,300,biased,4
185,0,100,100,300,unbiased,0
186,0,100,100,300,unbiased,1
187,0,100,100,300,unbiased,2
188,0,100,100,300,unbiased,3
189,0,100,100,300,unbiased,4
200,0,1000,10,10,biased,0
201,0,1000,10,10,biased,1
202,0,1000,10,10,biased,2
203,0,1000,10,10,biased,3
204,0,1000,10,10,biased,4
205,0,1000,10,10,unbiased,0
206,0,1000,10,10,unbiased,1
207,0,1000,10,10,unbiased,2
208,0,1000,10,10,unbiased,3
209,0,1000,10,10,unbiased,4
210,0,1000,10,30,biased,0
211,0,1000,10,30,biased,1
212,0,1000,10,30,biased,2
213,0,1000,10,30,biased,3
214,0,1000,10,30,biased,4
215,0,1000,10,30,unbiased,0
216,0,1000,10,30,unbiased,1
217,0,1000,10,30,unbiased,2
218,0,1000,10,30,unbiased,3
219,0,1000,10,30,unbiased,4
220,0,1000,10,100,biased,0
221,0,1000,10,100,biased,1
222,0,1000,10,100,biased,2
223,0,1000,10,100,biased,3
224,0,1000,10,100,biased,4
225,0,1000,10,100,unbiased,0
226,0,1000,10,100,unbiased,1
227,0,1000,10,100,unbiased,2
228,0,1000,10,100,unbiased,3
229,0,1000,10,100,unbiased,4
230,0,1000,10,300,biased,0
231,0,1000,10,300,biased,1
232,0,1000,10,300,biased,2
233,0,1000,10,300,biased,3
234,0,1000,10,300,biased,4
235,0,1000,10,300,unbiased,0
236,0,1000,10,300,unbiased,1
237,0,1000,10,300,unbiased,2
238,0,1000,10,300,unbiased,3
239,0,1000,10,300,unbiased,4
250,0,1000,100,10,biased,0
251,0,1000,100,10,biased,1
252,0,1000,100,10,biased,2
253,0,1000,100,10,biased,3
254,0,1000,100,10,biased,4
255,0,1000,100,10,unbiased,0
256,0,1000,100,10,unbiased,1
257,0,1000,100,10,unbiased,2
258,0,1000,100,10,unbiased,3
259,0,1000,100,10,unbiased,4
260,0,1000,100,30,biased,0
261,0,1000,100,30,biased,1
262,0,1000,100,30,biased,2
263,0,1000,100,30,biased,3
264,0,1000,100,30,biased,4
265,0,1000,100,30,unbiased,0
266,0,1000,100,30,unbiased,1
267,0,1000,100,30,unbiased,2
268,0,1000,100,30,unbiased,3
269,0,1000,100,30,unbiased,4
270,0,1000,100,100,biased,0
271,0,1000,100,100,biased,1
272,0,1000,100,100,biased,2
273,0,1000,100,100,biased,3
274,0,1000,100,100,biased,4
275,0,1000,100,100,unbiased,0
276,0,1000,100,100,unbiased,1
277,0,1000,100,100,unbiased,2
278,0,1000,100,100,unbiased,3
279,0,1000,100,100,unbiased,4
280,0,1000,100,300,biased,0
281,0,1000,100,300,biased,1
282,0,1000,100,300,biased,2
283,0,1000,100,300,biased,3
284,0,1000,100,300,biased,4
285,0,1000,100,300,unbiased,0
286,0,1000,100,300,unbiased,1
287,0,1000,100,300,unbiased,2
288,0,1000,100,300,unbiased,3
289,0,1000,100,300,unbiased,4
300,1,10,10,10,biased,0
301,1,10,10,10,biased,1
302,1,10,10,10,biased,2
303,1,10,10,10,biased,3
304,1,10,10,10,biased,4
305,1,10,10,10,unbiased,0
306,1,10,10,10,unbiased,1
307,1,10,10,10,unbiased,2
308,1,10,10,10,unbiased,3
309,1,10,10,10,unbiased,4
310,1,10,10,30,biased,0
311,1,10,10,30,biased,1
312,1,10,10,30,biased,2
313,1,10,10,30,biased,3
314,1,10,10,30,biased,4
315,1,10,10,30,unbiased,0
316,1,10,10,30,unbiased,1
317,1,10,10,30,unbiased,2
318,1,10,10,30,unbiased,3
319,1,10,10,30,unbiased,4
320,1,10,10,100,biased,0
321,1,10,10,100,biased,1
322,1,10,10,100,biased,2
323,1,10,10,100,biased,3
324,1,10,10,100,biased,4
325,1,10,10,100,unbiased,0
326,1,10,10,100,unbiased,1
327,1,10,10,100,unbiased,2
328,1,10,10,100,unbiased,3
329,1,10,10,100,unbiased,4
330,1,10,10,300,biased,0
331,1,10,10,300,biased,1
332,1,10,10,300,biased,2
333,1,10,10,300,biased,3
334,1,10,10,300,biased,4
335,1,10,10,300,unbiased,0
336,1,10,10,300,unbiased,1
337,1,10,10,300,unbiased,2
338,1,10,10,300,unbiased,3
339,1,10,10,300,unbiased,4
350,1,10,100,10,biased,0
351,1,10,100,10,biased,1
352,1,10,100,10,biased,2
353,1,10,100,10,biased,3
354,1,10,100,10,biased,4
355,1,10,100,10,unbiased,0
356,1,10,100,10,unbiased,1
357,1,10,100,10,unbiased,2
358,1,10,100,10,unbiased,3
359,1,10,100,10,unbiased,4
360,1,10,100,30,biased,0
361,1,10,100,30,biased,1
362,1,10,100,30,biased,2
363,1,10,100,30,biased,3
364,1,10,100,30,biased,4
365,1,10,100,30,unbiased,0
366,1,10,100,30,unbiased,1
367,1,10,100,30,unbiased,2
368,1,10,100,30,unbiased,3
369,1,10,100,30,unbiased,4
370,1,10,100,100,biased,0
371,1,10,100,100,biased,1
372,1,10,100,100,biased,2
373,1,10,100,100,biased,3
374,1,10,100,100,biased,4
375,1,10,100,100,unbiased,0
376,1,10,100,100,unbiased,1
377,1,10,100,100,unbiased,2
378,1,10,100,100,unbiased,3
379,1,10,100,100,unbiased,4
380,1,10,100,300,biased,0
381,1,10,100,300,biased,1
382,1,10,100,300,biased,2
383,1,10,100,300,biased,3
384,1,10,100,300,biased,4
385,1,10,100,300,unbiased,0
386,1,10,100,300,unbiased,1
387,1,10,100,300,unbiased,2
388,1,10,100,300,unbiased,3
389,1,10,100,300,unbiased,4
400,1,100,10,10,biased,0
401,1,100,10,10,biased,1
402,1,100,10,10,biased,2
403,1,100,10,10,biased,3
404,1,100,10,10,biased,4
405,1,100,10,10,unbiased,0
406,1,100,10,10,unbiased,1
407,1,100,10,10,unbiased,2
408,1,100,10,10,unbiased,3
409,1,100,10,10,unbiased,4
410,1,100,10,30,biased,0
411,1,100,10,30,biased,1
412,1,100,10,30,biased,2
413,1,100,10,30,biased,3
414,1,100,10,30,biased,4
415,1,100,10,30,unbiased,0
416,1,100,10,30,unbiased,1
417,1,100,10,30,unbiased,2
418,1,100,10,30,unbiased,3
419,1,100,10,30,unbiased,4
420,1,100,10,100,biased,0
421,1,100,10,100,biased,1
422,1,100,10,100,biased,2
423,1,100,10,100,biased,3
424,1,100,10,100,biased,4
425,1,100,10,100,unbiased,0
426,1,100,10,100,unbiased,1
427,1,100,10,100,unbiased,2
428,1,100,10,100,unbiased,3
429,1,100,10,100,unbiased,4
430,1,100,10,300,biased,0
431,1,100,10,300,biased,1
432,1,100,10,300,biased,2
433,1,100,10,300,biased,3
434,1,100,10,300,biased,4
435,1,100,10,300,unbiased,0
436,1,100,10,300,unbiased,1
437,1,100,10,300,unbiased,2
438,1,100,10,300,unbiased,3
439,1,100,10,300,unbiased,4
450,1,100,100,10,biased,0
451,1,100,100,10,biased,1
452,1,100,100,10,biased,2
453,1,100,100,10,biased,3
454,1,100,100,10,biased,4
455,1,100,100,10,unbiased,0
456,1,100,100,10,unbiased,1
457,1,100,100,10,unbiased,2
458,1,100,100,10,unbiased,3
459,1,100,100,10,unbiased,4
460,1,100,100,30,biased,0
461,1,100,100,30,biased,1
462,1,100,100,30,biased,2
463,1,100,100,30,biased,3
464,1,100,100,30,biased,4
465,1,100,100,30,unbiased,0
466,1,100,100,30,unbiased,1
467,1,100,100,30,unbiased,2
468,1,100,100,30,unbiased,3
469,1,100,100,30,unbiased,4
470,1,100,100,100,biased,0
471,1,100,100,100,biased,1
472,1,100,100,100,biased,2
473,1,100,100,100,biased,3
474,1,100,100,100,biased,4
475,1,100,100,100,unbiased,0
476,1,100,100,100,unbiased,1
477,1,100,100,100,unbiased,2
478,1,100,100,100,unbiased,3
479,1,100,100,100,unbiased,4
480,1,100,100,300,biased,0
